Author,Affiliation,Country,Race,Gender,Discipline,Institution
"Paul Boghossian, Chair  ","Silver Professor of Philosophy, New York University",USA,White,Male,Philosophy,Private
Kwame Anthony Appiah  ,"Silver Professor of Philosophy and Law, New York University",USA,Other,Male,Philosophy,Private
Kit Fine,"University Professor, Silver Professor of Philosophy and Mathematics, New York University",USA,White,Male,Philosophy,Private
Joseph Henrich  ,"Ruth Moore Professor of Biological Anthropology and Professor of Human Evolutionary Biology, Harvard  University",USA,White,Male,Anthropology,Private
Katherine E. Fleming  ,"Professor of History, New York University, and President and CEO, J. Paul Getty Trust",USA,White,Other,History,Private
Jason Merchant ,"Lorna Puttkammer Straus Distinguished Service Professor of Linguistics, University of Chicago",USA,White,Male,Linguistics/Literary Studies,Private
Gary Saul Morson  ,"Lawrence B. Dumas Professor of the Arts and Humanities; Professor, Slavic Languages and Literatures,  Northwestern University",USA,White,Male,Linguistics/Literary Studies,Private
Gideon Rosen  ,"Stuart Professor of Philosophy, Princeton University",USA,White,Male,Philosophy,Private
Ashley Rubin  ,"Associate Professor of Sociology, University of Hawaii",USA,White,Other,Sociology,Public
Sean Wilentz  ,"George Henry Davis 1886 Professor of American History, Princeton University",USA,White,Male,History,Private
